STT,Questions,Entities,Grade,Unit,Assign,Check Done,Cypher Query,Query Type,Note,# Single-Single,# Single-Multi,# Multi-Single,# Multi-Multi,label,event_type
60,Kết quả của cuộc vận động Duy Tân,"cuộc vận động Duy Tân
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc vận động Duy Tân""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",single - single,,,,,,1,
61,Cuộc vận động Duy Tân diễn ra khi nào?,"Cuộc vận động Duy Tân
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc vận động Duy Tân""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,15,
62,Phong trào Nghĩa Hòa đoàn chống lại ai?,"Phong trào Nghĩa Hòa đoàn
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Phong trào Nghĩa Hòa đoàn""
match (e)-[:doi_tuong_bi_tan_cong]-(b)
return b",single - single,,,,,,2,
63,Phong trào Nghĩa Hòa đoàn diễn ra ở đâu?,"Phong trào Nghĩa Hòa đoàn 
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Phong trào Nghĩa Hòa đoàn""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
64,Điều ước Tân Sửu được kí kết vào thời gian nào?,"Điều ước Tân Sửu
hiep_dinh",11,40,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Điều ước Tân Sửu""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,15,
65,Trung Quốc Đồng minh hội do ai thành lập?,"Trung Quốc Đồng minh hội 
to_chuc",11,40,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung Quốc Đồng minh hội""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
66,Điều ước Tân Sửu đã được kí kết bởi những quốc gia nào?,"Điều ước Tân Sửu
hiep_dinh",11,40,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Điều ước Tân Sửu""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b)
return b",single - single,,,,,,6,
67,Việc kí kết Điều ước Tân Sửu có ý nghĩa gì?,"Điều ước Tân Sửu
hiep_dinh",11,40,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Điều ước Tân Sửu""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
68,Mục tiêu của việc thành lập Trung Quốc Đồng minh hội là gì?,"Trung Quốc Đồng minh hội
to_chuc",11,40,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung Quốc Đồng minh hội""
match (e)-[:muc_tieu]-(b)
return b",single - single,,,,,,2,
69,Trung Quốc Đồng minh hội được thành lập vào thời gian nào?,"Trung Quốc Đồng minh hội
to_chuc",11,40,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung Quốc Đồng minh hội""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
70,Trung Quốc Đồng minh hội được thành lập ở đâu?,"Trung Quốc Đồng minh hội
to_chuc",11,40,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung Quốc Đồng minh hội""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,7,
71,Sắc lệnh nào được chính quyền Mãn Thanh ban hành vào năm 1911?,"chính quyền Mãn Thanh | năm 1911
to_chuc | thoi_gian",11,40,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_ban_hanh]-(a) where a.name = ""chính quyền Mãn Thanh""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1911""
match (e)-[:ban_hanh]-(c)
return c",single - single,,,,,,2,
72,Mục đích của việc ban hành sắc lệnh Quốc hữu hóa đường sắt của chính quyền Mãn Thanh là gì?,"sắc lệnh Quốc hữu hóa đường sắt | chính quyền Mãn Thanh
chinh_sach | to_chuc",11,40,QuanPV,TRUE,"match (e:Event)-[:ban_hanh]-(a) where a.name = ""sắc lệnh Quốc hữu hóa đường sắt""
match (e)-[:doi_tuong_ban_hanh]-(b) where b.name = ""chính quyền Mãn Thanh""
match (e)-[:muc_tieu]-(c) 
return c",single - single,,,,,,1,
73,Cuộc Cách mạng Tân Hơi do ai lãnh đạo?,"Cuộc Cách mạng Tân Hơi
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc Cách mạng Tân Hơi""
match (e)-[:doi_tuong_lanh_dao]-(b) 
return b",single - single,,,,,,9,
74,Khởi nghĩa Lam Sơn bùng nổ vào năm bao nhiêu?,"Khởi nghĩa Lam Sơn 
tran_chien",10,,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Khởi nghĩa Lam Sơn""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,15,
75,Cách mạng Tân Hợi diễn ra khi nào?,"Cách mạng Tân Hợi
tran_chien",11,40,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Tân Hợi""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) 
return b",single - single,,,,,,15,
76,Trung Hoa Dân quốc được thành lập vào thời gian nào?,"Trung Hoa Dân quốc
to_chuc",11,40,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung Hoa Dân quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) 
return b",single - single,,,,,,24,
77,Trung Hoa Dân quốc được thành lập ở đâu?,"Trung Hoa Dân quốc
to_chuc",11,40,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung Hoa Dân quốc""
match (e)-[:(dien_ra_o|thuoc)*]-(b) 
return b",single - single,,,,,,7,
78,Liên minh xã hội dân chủ In-đô-nê-xi-a được thành lập khi nào?,"Liên minh xã hội dân chủ In-đô-nê-xi-a
to_chuc",11,41,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên minh xã hội dân chủ In-đô-nê-xi-a""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) 
return b",single - single,,,,,,24,
79,Liên hiệp những người con yêu quý của nhân dân được thành lập bởi ai?,"Liên hiệp những người con yêu quý của nhân dân
to_chuc",11,41,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên hiệp những người con yêu quý của nhân dân""
match (e)-[:thanh_lap_boi]-(b) 
return b",single - single,,,,,,14,
80,Liên minh Phi-líp-pin được thành lập khi nào?,"Liên minh Phi-líp-pin
to_chuc",11,41,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên minh Phi-líp-pin""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) 
return b",single - single,,,,,,24,
81,Liên minh Phi-líp-pin được thành lập bởi ai?,"Liên minh Phi-líp-pin
to_chuc",11,41,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên minh Phi-líp-pin""
match (e)-[:thanh_lap_boi]-(b) 
return b",single - single,,,,,,14,
82,Nguyên nhân diễn ra cuộc khởi nghĩa Lam Sơn là gì?,"cuộc khởi nghĩa Lam Sơn
tran_chien",10,16,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name=""cuộc khởi nghĩa Lam Sơn""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,6,
83,Nội dung của Hiệp ước 1893 giữa Xiêm và Pháp là gì?,"Hiệp ước 1893 | Xiêm | Pháp
hiep_dinh | thoi_gian | to_chuc",11,41,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước 1893""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name = ""Xiêm""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""Pháp""
match (e)-[:mo_ta]-(d) 
return d",single - single,,,,,,2,
84,"Vào những năm 70, 80 của thế kỉ XIX, Châu Phi bị xâm chiếm bởii quốc gia nào?","những năm 70, 80 của thế kỉ XIX | Châu Phi
thoi_gian | dia_diem",11,42,QuanPV,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""những năm 70, 80 của thế kỉ XIX""
match (e)-[:doi_tuong_bi_chiem]-(b) where b.name = ""Châu Phi""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(c)
return c",single - single,,,,,,5,
85,"Diễn biến của cuộc xâm lược Châu Phi của các nước Châu Âu vào những năm 70, 80 của thế kỉ XIX?","Châu Phi | các nước Châu Âu | những năm 70, 80 của thế kỉ XIX
dia_diem| dia_diem | thoi_gian",11,42,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_tan_cong]-(a) where a.name = ""Châu Phi""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b) where b.name  = ""các nước Châu Âu""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""những năm 70, 80 của thế kỉ XIX""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
86,Mục đích của học thuyết Mơn-rô do Mĩ ban hành?,"học thuyết Mơn-rô | Mĩ
chinh_sach | to_chuc",11,42,QuanPV,TRUE,"match (e:Event)-[:ban_hanh]-(a) where a.name = ""học thuyết Mơn-rô""
match (e)-[:doi_tuong_ban_hanh]-(b) where b.name = ""Mĩ""
match (e)-[:muc_tieu]-(c)
return c",single - single,,,,,,2,
87,Liên minh dân tộc các nước cộng hòa châu Mĩ được thành lập vào năm nào?,"Liên minh dân tộc các nước cộng hòa châu Mĩ
to_chuc",11,42,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên minh dân tộc các nước cộng hòa châu Mĩ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
88,Phe Liên Minh bao gồm những nước nào?,"Phe Liên Minh
to_chuc",11,43,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Phe Liên Minh""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
89,Phe Hiệp Ước bao gồm những nước nào?,"Phe Hiệp Ước
to_chuc",11,43,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Phe Hiệp Ước""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,1,
90,Phe Liên Minh được thành lập vào năm nào?,"Phe Liên Minh
to_chuc",11,43,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Phe Liên Minh""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
91,Hòa ước Bret Litốp được kí kết vào thời gian nào?,"Hòa ước Bret Litốp
hiep_dinh",11,43,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hòa ước Bret Litốp""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,15,
92,Các bên tham gia kí kết Hòa ước Bret Litốp là ai?,"Hòa ước Bret Litốp
hiep_dinh",11,43,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hòa ước Bret Litốp""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b)
return b",single - single,,,,,,6,
93,Nguyên nhân của việc kí kết Hòa ước Bret Litốp?,"Hòa ước Bret Litốp
hiep_dinh",11,43,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hòa ước Bret Litốp""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,6,
94,Ý nghĩa của việc kí kết Hòa ước Bret Litốp?,"Hòa ước Bret Litốp
hiep_dinh",11,43,QuanPV,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hòa ước Bret Litốp""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
95,Kết quả của chiến dịch đánh nhanh thắng nhanh của Đức đối với Pháp?,"chiến dịch đánh nhanh thắng nhanh | Đức | Pháp
chien_dich | to_chuc | to_chuc",11,43,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""chiến dịch đánh nhanh thắng nhanh""
match (e)-[:doi_tuong_thuc_hien]-(b) where b.name = ""Đức""
match (e)-[:doi_tuong_bi_tan_cong]-(c) where c.name = ""Pháp""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
96,Liên minh phát xít đầu tiên được thành lập bởi những nước nào?,"Liên minh phát xít
to_chuc",11,53,LongLPH,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên minh phát xít""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
97,Anh và Pháp thực hiện chính sách nhượng bộ phát xít nhằm mục đích gì?,"Anh | Pháp | chính sách nhượng bộ phát xít
to_chuc | to_chuc | chinh_sach",11,53,LongLPH,TRUE,"match (e:Event)-[:doi_tuong_thuc_hien]-(a) where a.name = ""Anh""
match (e)-[:doi_tuong_thuc_hien]-(b) where b.name = ""Pháp""
match (e)-[:ten_goi]-(c) where c.name = ""chính sách nhượng bộ phát xít""
match (e)-[:muc_tieu]-(d)
return d",single - single,,,,,,1,
98,Đại hội lần thứ nhất các xô viết toàn Liên bang diễn ra vào khi nào?,"Đại hội lần thứ nhất các xô viết toàn Liên bang
cuoc_hop",11,46,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội lần thứ nhất các xô viết toàn Liên bang""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,15,
99,Diễn biến của chiến dịch đánh nhanh thắng nhanh của Đức đối với Pháp?,"chiến dịch đánh nhanh thắng nhanh | Đức | Pháp
chien_dich | to_chuc | to_chuc",11,43,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""chiến dịch đánh nhanh thắng nhanh""
match (e)-[:doi_tuong_thuc_hien]-(b) where b.name = ""Đức""
match (e)-[:doi_tuong_bi_tan_cong]-(c) where c.name = ""Pháp""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
100,Diễn biến của cuộc biểu tình ngày 12 - 9 - 1930 tại huyện Hưng Nguyên,"ngày 12 - 9 - 1930 | huyện Hưng Nguyên
thoi_gian | dia_diem",12,72,HungTX,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""ngày 12 - 9 - 1930""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""huyện Hưng Nguyên""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,3,
101,Thực dân Pháp đã có hành động gì để chống lại cuộc biểu tình ngày 12 - 9 - 1930 tại huyện Hưng Nguyên,"Thực dân Pháp | 12 - 9 - 1930 | huyện Hưng Nguyên
dia_diem | thoi_gian | dia_diem",12,72,HungTX,FALSE,"match (e:Event)-[:ten_goi]-(a) where a.name =  ""chiến dịch Biên giới""
match (e)-[:SubEvent]-(e1:TranChien|ChienDich) where NOT ()<-[:Causal]-(e1) and NOT ()-[:NextEvent]->(e1) 
match (e1)-[:(dien_ra_o|thuoc)*]-(b) 
return b",multi - single,,,,,,,
102,Đại hội lần thứ nhất các xô viết toàn Liên bang do ai chủ trì?,"Đại hội lần thứ nhất các xô viết toàn Liên bang

cuoc_hop",11,46,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội lần thứ nhất các xô viết toàn Liên bang""
match (e)-[:doi_tuong_chu_tri]-(b)
return b",single - single,,,,,,1,
103,Đại hội lần thứ nhất các xô viết toàn Liên bang được tổ chức ở đâu?,"Đại hội lần thứ nhất các xô viết toàn Liên bang
cuoc_hop",11,46,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội lần thứ nhất các xô viết toàn Liên bang""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
104,Hiệp ước Tam cường đã được kí kết ở đâu?,"Hiệp ước Tam cường
hiep_dinh",11,53,LongLPH,TRUE,"match (e:KiKet)-[:ten_goi]-(a) where a.name = ""Hiệp ước Tam cường""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
105,Lê-nin qua đời vào ngày nào?,"Lê-nin
nhan_vat",11,46,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_mat]-(a) where a.name = ""Lê-nin""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,1,
106,Hội nghị hòa bình được tổ chức ở đâu?,"Hội nghị hòa bình
cuoc_hop",11,47,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị hòa bình""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
107,Mục tiêu của việc tổ chức hội nghị hòa bình là gì?,"hội nghị hòa bình
cuoc_hop",11,47,QuanPV,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""hội nghị hòa bình""
match (e)-[:muc_tieu]-(b)
return b",single - single,,,,,,3,
108,Hội Quốc liên được thành lập bởi ai?,"Hội Quốc liên
to_chuc",11,47,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Hội Quốc liên""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,3,
109,Ý nghĩa của việc thành lập Hội Quốc liên?,"Hội Quốc liên
to_chuc",11,47,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Hội Quốc liên""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,1,
110,Mục đích của việc thành lập Hội Quốc liên?,"Hội Quốc liên
to_chuc",11,47,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Hội Quốc liên""
match (e)-[:muc_tieu]-(b)
return b",single - single,,,,,,1,
111,Diễn biến của cao trào cách mạng của các nước tư bản Châu Âu trong những năm 1918 - 1923?,"cao trào cách mạng của các nước tư bản Châu Âu | những năm 1918 | 1923
tran_chien | thoi_gian | thoi_gian",11,47,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""cao trào cách mạng của các nước tư bản Châu Âu""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b) where b.name = ""những năm 1918""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(c) where c.name = ""1923""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
112,Cộng hòa Xô viết ở Hung-ga-ri được thành lập vào thời gian nào?,"Cộng hòa Xô viết | Hung-ga-ri
to_chuc | dia_diem",11,47,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Cộng hòa Xô viết""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Hung-ga-ri""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c)
return c",single - single,,,,,,3,
113,Cộng hòa Xô viết ở Ba-vi-e được thành lập vào thời gian nào?,"Cộng hòa Xô viết | Ba-vi-e
to_chuc | dia_diem",11,47,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Cộng hòa Xô viết""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Ba-vi-e""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c)
return c",single - single,,,,,,3,
114,"Vào tháng 10 - 1942, Đức đã tiến hành xâm chiếm các nước nào?","tháng 10 - 1942 | Đức
thoi_gian | dia_diem",11,53,LongLPH,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""tháng 10 - 1942""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(b) where b.name = ""Đức""
match (e)-[:doi_tuong_bi_chiem]-(c)
return c",single - single,,,,,,2,
115,Chiến thắng của trận Mát-xcơ-va (12 - 1941) mang ý nghĩa gì?,"trận Mát-xcơ-va | 12 - 1941
dia_diem | thoi_gian",11,53,LongLPH,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""trận Mát-xcơ-va""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""12 - 1941""
match (e)-[:y_nghia]-(c)
return c",single - single,,,,,,5,
116,Quốc tế Cộng sản do ai sáng lập?,"Quốc tế Cộng sản
to_chuc",11,47,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Quốc tế Cộng sản""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
117,Quốc tế Cộng sản được thành lập vào thời gian nào?,"Quốc tế Cộng sản
to_chuc",11,47,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Quốc tế Cộng sản""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
118,Quốc tế Cộng sản được thành lập ở đâu?,"Quốc tế Cộng sản
to_chuc",11,47,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Quốc tế Cộng sản""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,7,
119,Sự thành lập Mặt trận Nhân dân chống chủ nghĩa phát xít diễn ra ở các nước nào?,"Mặt trận Nhân dân chống chủ nghĩa phát xít
to_chuc",11,47,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Mặt trận Nhân dân chống chủ nghĩa phát xít""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,7,
120,Kết quả của phong trào đầu tranh chống chủ nghĩa phát xít ở Pháp năm 1936 - 1939?,"chủ nghĩa phát xít | Pháp | năm 1936 | 1939
to_chuc | dia_diem | thoi_gian | thoi_gian",11,47,QuanPV,TRUE,"match (e:Event)-[:doi_tuong_bi_tan_cong]-(a) where a.name = ""chủ nghĩa phát xít""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Pháp""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(c) where c.name = ""năm 1936""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(d) where d.name = ""1939""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
121,Hội nghị I-an-ta có sự tham dự của 3 cường quốc nào?,"Hội nghị I-an-ta
cuoc_hop",12,53,HungTX,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị I-an-ta""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(b)
return b",single - single,,,,,,6,
122,quân Đồng Minh bắt đầu tấn công quân Đức ở Mặt trận phía Tây vào thời gian nào?,"quân Đồng Minh | quân Đức | Mặt trận phía Tây
quan_doi | quan_doi | dia_diem",12,53,HungTX,TRUE,"match (e:Event)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""quân Đồng Minh""
match (e)-[:doi_tuong_bi_tan_cong]-(b) where b.name = ""quân Đức""
match (e)-[:(dien_ra_o|thuoc)*]-(c) where c.name = ""Mặt trận phía Tây""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(d)
return d",single - single,,,,,,2,
123,"Ở Mặt trận Thái Bình Dương, năm 1944, liên quân Mĩ - Anh đã tấn công vào đâu?","Mặt trận Thái Bình Dương | năm 1944 | liên quân Mĩ - Anh
dia_diem | thoi_gian | quan_doi",12,53,HungTX,TRUE,"match (e:Event)-[:(dien_ra_o|thuoc)*]-(a) where a.name = ""Mặt trận Thái Bình Dương""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b) where b.name = ""năm 1944""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c) where c.name = ""liên quân Mĩ - Anh""
match (e)-[:doi_tuong_bi_tan_cong]-(d)
return d",single - single,,,,,,2,
124,"Cuối thập niên 20, Chính phủ Ta-na-ca thi hành chính sách gì?","Cuối thập niên 20 | Chính phủ Ta-na-ca
thoi_gian | to_chuc",11,50,QuanPV,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""Cuối thập niên 20""
match (e)-[:doi_tuong_ban_hanh]-(b) where b.name = ""Chính phủ Ta-na-ca""
match (e)-[:ban_hanh]-(c)
return c",single - single,,,,,,2,
